deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:24:50
node;164.35%;0.26%;81.73MiB / 31.18GiB;191MB / 1.01GB;0B / 4.1kB;23 ;21:24:50
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:24:50
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:24:53
node;128.14%;0.26%;81.75MiB / 31.18GiB;192MB / 1.02GB;0B / 4.1kB;23 ;21:24:53
bun;0.01%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:24:53
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:24:56
node;133.63%;0.27%;85.3MiB / 31.18GiB;194MB / 1.03GB;0B / 4.1kB;23 ;21:24:56
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:24:56
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:24:59
node;128.20%;0.26%;82.4MiB / 31.18GiB;195MB / 1.03GB;0B / 4.1kB;23 ;21:24:59
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:24:59
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:02
node;126.00%;0.25%;80.81MiB / 31.18GiB;196MB / 1.04GB;0B / 4.1kB;23 ;21:25:02
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:02
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:05
node;124.67%;0.25%;80.71MiB / 31.18GiB;198MB / 1.04GB;0B / 4.1kB;23 ;21:25:05
bun;0.01%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:05
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:08
node;124.10%;0.25%;80.69MiB / 31.18GiB;199MB / 1.05GB;0B / 4.1kB;23 ;21:25:08
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:08
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:11
node;124.10%;0.25%;79.91MiB / 31.18GiB;201MB / 1.06GB;0B / 4.1kB;23 ;21:25:11
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:11
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:14
node;131.41%;0.26%;81.52MiB / 31.18GiB;201MB / 1.06GB;0B / 4.1kB;23 ;21:25:14
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:14
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:17
node;125.20%;0.26%;81.7MiB / 31.18GiB;203MB / 1.07GB;0B / 4.1kB;23 ;21:25:17
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:17
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:20
node;127.79%;0.25%;80.94MiB / 31.18GiB;205MB / 1.07GB;0B / 4.1kB;23 ;21:25:20
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:20
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:23
node;128.46%;0.26%;81.9MiB / 31.18GiB;206MB / 1.08GB;0B / 4.1kB;23 ;21:25:23
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:23
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:27
node;127.97%;0.26%;82.15MiB / 31.18GiB;207MB / 1.08GB;0B / 4.1kB;23 ;21:25:27
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:27
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:30
node;129.49%;0.26%;82.04MiB / 31.18GiB;209MB / 1.09GB;0B / 4.1kB;23 ;21:25:30
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:30
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:33
node;131.01%;0.26%;82.25MiB / 31.18GiB;210MB / 1.1GB;0B / 4.1kB;23 ;21:25:33
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:33
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:36
node;127.25%;0.26%;82.11MiB / 31.18GiB;211MB / 1.1GB;0B / 4.1kB;23 ;21:25:36
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:36
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:39
node;127.80%;0.26%;82.22MiB / 31.18GiB;212MB / 1.11GB;0B / 4.1kB;23 ;21:25:39
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:25:39
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:25:42
node;132.88%;0.26%;82.48MiB / 31.18GiB;214MB / 1.11GB;0B / 4.1kB;23 ;21:25:42
