"unidade","modulo","comment","query_execution_time"
13325,"fluxograma","original","00:00:01.025083"
13325,"fluxograma","original","00:00:00.96659"
13325,"fluxograma","original","00:00:01.050517"
13325,"fluxograma","original","00:00:01.095068"
18228,"fluxograma","original","00:00:00.740078"
18228,"fluxograma","original","00:00:00.734437"
18228,"fluxograma","original","00:00:00.736461"
18228,"fluxograma","original","00:00:00.729684"
18228,"fluxograma","original","00:00:00.71198"
18228,"fluxograma","original","00:00:00.727508"
18228,"fluxograma","original","00:00:00.695195"
18228,"fluxograma","original","00:00:00.720935"
18228,"fluxograma","original","00:00:00.852777"
18228,"fluxograma","original","00:00:00.862496"
14009,"fluxograma","original","00:00:00.271472"
14009,"fluxograma","original","00:00:00.295205"
14009,"fluxograma","original","00:00:00.315388"
14009,"fluxograma","original","00:00:00.353205"
14009,"fluxograma","original","00:00:00.310006"
14009,"fluxograma","original","00:00:00.287777"
14009,"fluxograma","original","00:00:00.27916"
14009,"fluxograma","original","00:00:00.283922"
14009,"fluxograma","original","00:00:00.292275"
14009,"fluxograma","original","00:00:00.284993"
7433,"fluxograma","original","00:00:01.601613"
7433,"fluxograma","original","00:00:01.564503"
7433,"fluxograma","original","00:00:01.732469"
7433,"fluxograma","original","00:00:01.545533"
7433,"fluxograma","original","00:00:01.557334"
7433,"fluxograma","original","00:00:01.59863"
7433,"fluxograma","original","00:00:01.571634"
7433,"fluxograma","original","00:00:01.669607"
7433,"fluxograma","original","00:00:01.72731"
7433,"fluxograma","original","00:00:01.738291"
3843,"fluxograma","original","00:00:01.484641"
3843,"fluxograma","original","00:00:01.206464"
3843,"fluxograma","original","00:00:01.338766"
3843,"fluxograma","original","00:00:01.247845"
3843,"fluxograma","original","00:00:01.252374"
3843,"fluxograma","original","00:00:01.239658"
3843,"fluxograma","original","00:00:01.388297"
3843,"fluxograma","original","00:00:01.239634"
3843,"fluxograma","original","00:00:01.246276"
3843,"fluxograma","original","00:00:01.235649"
14013,"fluxograma","original","00:00:00.219226"
14013,"fluxograma","original","00:00:00.225733"
14013,"fluxograma","original","00:00:00.231048"
14013,"fluxograma","original","00:00:00.229127"
14013,"fluxograma","original","00:00:00.229764"
14013,"fluxograma","original","00:00:00.226586"
14013,"fluxograma","original","00:00:00.297221"
14013,"fluxograma","original","00:00:00.255063"
14013,"fluxograma","original","00:00:00.221808"
14013,"fluxograma","original","00:00:00.227856"
17384,"fluxograma","original","00:00:01.108341"
17384,"fluxograma","original","00:00:01.180693"
17384,"fluxograma","original","00:00:01.164811"
17384,"fluxograma","original","00:00:01.185048"
17384,"fluxograma","original","00:00:01.262026"
17384,"fluxograma","original","00:00:01.096321"
17384,"fluxograma","original","00:00:01.195464"
17384,"fluxograma","original","00:00:01.132556"
17384,"fluxograma","original","00:00:01.101108"
17384,"fluxograma","original","00:00:01.101526"
18104,"fluxograma","original","00:00:01.54364"
18104,"fluxograma","original","00:00:01.513391"
18104,"fluxograma","original","00:00:01.704992"
18104,"fluxograma","original","00:00:01.622749"
18104,"fluxograma","original","00:00:01.650269"
18104,"fluxograma","original","00:00:01.530426"
18104,"fluxograma","original","00:00:01.574369"
18104,"fluxograma","original","00:00:01.52136"
18104,"fluxograma","original","00:00:01.526594"
18104,"fluxograma","original","00:00:01.573321"
8380,"fluxograma","original","00:00:01.62875"
8380,"fluxograma","original","00:00:01.385901"
8380,"fluxograma","original","00:00:01.493942"
8380,"fluxograma","original","00:00:01.405612"
8380,"fluxograma","original","00:00:01.438274"
8380,"fluxograma","original","00:00:01.375132"
8380,"fluxograma","original","00:00:01.490982"
8380,"fluxograma","original","00:00:01.435056"
8380,"fluxograma","original","00:00:01.402818"
8380,"fluxograma","original","00:00:01.438729"
44508,"fluxograma","original","00:00:03.531143"
44508,"fluxograma","original","00:00:03.00066"
44508,"fluxograma","original","00:00:02.945161"
44508,"fluxograma","original","00:00:02.753946"
44508,"fluxograma","original","00:00:02.881586"
44508,"fluxograma","original","00:00:03.489589"
44508,"fluxograma","original","00:00:03.542876"
44508,"fluxograma","original","00:00:03.68173"
44508,"fluxograma","original","00:00:03.284583"
44508,"fluxograma","original","00:00:03.536278"
